trace_id,question,method,retrieved_sources,retrieved_preview,answer,sources_cited,failure_type,honest_note,problem_group
0,How do I rotate my API key?,hybrid,authentication.md; authentication.md; authentication.md,"recommend rotating them every 90 days. You can have up to
two active keys at a t | I keys can be scoped to `read`, `write`, or `admin`. Scope is set when the key i | # Authentication

## Overview
All requests to the AcmeSDK API must be authentica","You can rotate your API key by generating a new key, updating your application with the new key, and then revoking the old key. It is recommended to rotate them every 90 days. You can have up to two active keys at a time to allow for zero-downtime rotation.
[Source: authentication.md]",authentication.md,success,,
1,How many times can a failed job be retried?,hybrid,jobs-api.md; authentication.md; jobs-api.md,"s.

## Retrying failed jobs
Failed jobs are not retried automatically. Call `cli | recommend rotating them every 90 days. You can have up to
two active keys at a t | # Jobs API

## Creating a job
```python
client.jobs.create(name=""my-job"", payloa",A job can be retried up to 5 times. (Source: jobs-api.md),jobs-api.md; authentication.md,success,,
2,"If my API key is invalid, what status code do I get?",hybrid,authentication.md; jobs-api.md; authentication.md,"# Authentication

## Overview
All requests to the AcmeSDK API must be authentica | # Jobs API

## Creating a job
```python
client.jobs.create(name=""my-job"", payloa | I keys can be scoped to `read`, `write`, or `admin`. Scope is set when the key i","Requests without a valid key will receive a `401 Unauthorized` response.
Source: authentication.md",authentication.md; jobs-api.md,success,,
3,I have a valid read-only key but I tried to make a write request. What error do I get?,hybrid,authentication.md; authentication.md; authentication.md,"I keys can be scoped to `read`, `write`, or `admin`. Scope is set when the key i | recommend rotating them every 90 days. You can have up to
two active keys at a t | # Authentication

## Overview
All requests to the AcmeSDK API must be authentica",I don't know,authentication.md,generation_failure,Model failed to extract the 403 error for insufficient scope.,Cautious Generation
4,I'm getting 429 errors. Does that mean my API key is invalid?,hybrid,authentication.md; installation.md; authentication.md,"# Authentication

## Overview
All requests to the AcmeSDK API must be authentica |  the base URL
By default the SDK points to `https://api.acme.dev`. To use a diff | recommend rotating them every 90 days. You can have up to
two active keys at a t",I don't know,authentication.md; installation.md,generation_failure,"Model failed to explain that 429 means rate limiting, not invalid key.",Cautious Generation
5,"My key was working fine, then I started getting 429s. Was my key revoked?",hybrid,authentication.md; authentication.md; authentication.md,"recommend rotating them every 90 days. You can have up to
two active keys at a t | I keys can be scoped to `read`, `write`, or `admin`. Scope is set when the key i | # Authentication

## Overview
All requests to the AcmeSDK API must be authentica",I don't know,authentication.md,generation_failure,Model failed to address the 429 revocation misconception.,Cautious Generation
6,"If I rotate my API key, does the new key automatically get the same scope as the old one?",hybrid,authentication.md; authentication.md; authentication.md,"recommend rotating them every 90 days. You can have up to
two active keys at a t | I keys can be scoped to `read`, `write`, or `admin`. Scope is set when the key i | # Authentication

## Overview
All requests to the AcmeSDK API must be authentica",I don't know,authentication.md,generation_failure,Model refused to answer whether scope is carried over.,Cautious Generation
7,Do API keys expire automatically after 90 days?,hybrid,authentication.md; authentication.md; jobs-api.md,"recommend rotating them every 90 days. You can have up to
two active keys at a t | # Authentication

## Overview
All requests to the AcmeSDK API must be authentica | s.

## Retrying failed jobs
Failed jobs are not retried automatically. Call `cli",I don't know,authentication.md; jobs-api.md,generation_failure,Model refused to clarify 90-day expiration.,Cautious Generation
8,"During a key rotation, can I use both the old and new key at the same time?",hybrid,authentication.md; authentication.md; authentication.md,"recommend rotating them every 90 days. You can have up to
two active keys at a t | I keys can be scoped to `read`, `write`, or `admin`. Scope is set when the key i | # Authentication

## Overview
All requests to the AcmeSDK API must be authentica","Yes, you can have up to two active keys at a time to allow zero-downtime rotation. [Source: authentication.md]",authentication.md,success,,
9,Can I use a revoked API key again later if I need to?,hybrid,authentication.md; authentication.md; authentication.md,"I keys can be scoped to `read`, `write`, or `admin`. Scope is set when the key i | recommend rotating them every 90 days. You can have up to
two active keys at a t | # Authentication

## Overview
All requests to the AcmeSDK API must be authentica",I don't know,authentication.md,generation_failure,Model failed to state that a revoked key cannot be reused.,Cautious Generation
10,My config file has an 'access key' and my code expects an 'API key' - are these different credentials I need to manage separately?,hybrid,authentication.md; authentication.md; installation.md,"# Authentication

## Overview
All requests to the AcmeSDK API must be authentica | I keys can be scoped to `read`, `write`, or `admin`. Scope is set when the key i |  the base URL
By default the SDK points to `https://api.acme.dev`. To use a diff",I don't know,authentication.md; installation.md,generation_failure,Model failed to identify access key and API key as equivalent.,Cautious Generation
11,What does a 429 response mean?,hybrid,authentication.md; authentication.md; jobs-api.md,"recommend rotating them every 90 days. You can have up to
two active keys at a t | # Authentication

## Overview
All requests to the AcmeSDK API must be authentica | s.

## Retrying failed jobs
Failed jobs are not retried automatically. Call `cli","If you exceed the rate limit of 1000 requests per minute per API key, the API returns a `429 Too Many Requests` response with a `Retry-After` header indicating how many seconds to wait before retrying.

Source: authentication.md",authentication.md; jobs-api.md,success,,
12,Does AcmeSDK work with Python 3.8?,hybrid,installation.md; installation.md; jobs-api.md,"# Installation & Quickstart

## Requirements
AcmeSDK requires Python 3.9 or late |  the base URL
By default the SDK points to `https://api.acme.dev`. To use a diff |  a webhook URL in the dashboard to receive `job.completed` and `job.failed` even",I don't know,installation.md; jobs-api.md,generation_failure,Model failed to state that Python 3.8 is not supported.,Cautious Generation
13,How can I check if my environment is set up correctly?,hybrid,installation.md; jobs-api.md; jobs-api.md," the base URL
By default the SDK points to `https://api.acme.dev`. To use a diff | # Jobs API

## Creating a job
```python
client.jobs.create(name=""my-job"", payloa | s.

## Retrying failed jobs
Failed jobs are not retried automatically. Call `cli","Run `acme-sdk doctor` from the command line to check that your environment is configured correctly. It verifies your Python version, checks that your API key is valid, and confirms network connectivity to the AP.

Source: installation.md",installation.md; jobs-api.md,success,,
